First Name	Last Name	Date of Birth	Email	Identification Number	Password	Address	Phone Number	Checking Account Number	Savings Account Number	Credit Account Number	Checking Starting Balance	Savings Starting Balance	Credit Starting Balance	Credit Max
Laila	Romero	"October 17, 1981"	LailaRomero@disney.com	60	Password109	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1059	2059	3059	4591.63	3369.47	-124.87	4142
Anakin	Skywalker	"March 10, 2001"	AnakinSkywalker@disney.com	101	Password150	"539 W. University Ave, El Paso, TX 79968"	(915) 747-5039	1086	2086	3086	1540.28	2410.62	-912.79	5848
Pinocchio	Disney	"October 18, 1934"	PinocchioDisney@disney.com	30	Password79	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1029	2029	3029	546.88	2891.87	-916.69	7333
Sean	Aguilar	"December 20, 1995"	SeanAguilar@disney.com	37	Password86	"1314 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4637	1036	2036	3036	6033.67	3126.14	-494.42	4041
Beast	Disney	"November 27, 2014"	BeastDisney@disney.com	20	Password69	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1019	2019	3019	1615.89	2921.75	-202.55	4392
Obi	Kenobi	"September 5, 1987"	ObiKenobi@disney.com	102	Password151	"540 W. University Ave, El Paso, TX 79968"	(915) 747-5040	1086	2086	3086	404.34	4333.37	-41.68	4049
Goofy	Disney	"November 26, 1946"	GoofyDisney@disney.com	4	Password53	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1003	2003	3003	439.56	1600.11	-1665.63	3398
Walt	Disney	"November 16, 1982"	WaltDisney@disney.com	97	Password146	"535 W. University Ave, El Paso, TX 79968"	(915) 747-5035	1086	2086	3086	961.94	856.79	-795.11	8503
Shere	Khan	"June 27, 2000"	ShereKhan@disney.com	26	Password75	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1025	2025	3025	706.87	239.49	-906.93	4348
Pluto	Disney	"January 8, 1933"	PlutoDisney@disney.com	5	Password54	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1004	2004	3004	130.44	119.75999999999999	-1406.69	3804
Kaa	Disney	"September 17, 1972"	KaaDisney@disney.com	28	Password77	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1027	2027	3027	1154.96	4997.64	-771.69	4341
Prince	Eric	"January 24, 2005"	PrinceEric@disney.com	31	Password80	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1030	2030	3030	1282.07	4348.94	-1497.98	6401
Quasimodo	Disney	"September 2, 1964"	QuasimodoDisney@disney.com	32	Password81	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1031	2031	3031	994.1999999999999	377.41	-841.09	9588
Captain	America	"October 20, 1933"	CaptainAmerica@disney.com	92	Password141	"530 W. University Ave, El Paso, TX 79968"	(915) 747-5030	1086	2086	3086	597.29	4360.44	-1026.21	3184
Winnie	Pooh	"August 3, 2004"	WinniePooh@disney.com	93	Password142	"531 W. University Ave, El Paso, TX 79968"	(915) 747-5031	1086	2086	3086	709.01	2071.48	-1021.14	4333
Anthony	Herrera	"December 17, 1999"	AnthonyHerrera@disney.com	48	Password97	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1047	2047	3047	5333.81	1489.53	-1840.43	9953
Roy	Disney	"January 29, 1950"	RoyDisney@disney.com	98	Password147	"536 W. University Ave, El Paso, TX 79968"	(915) 747-5036	1086	2086	3086	1011.86	4523.76	-1336.6	9389
Juan	Isasi	"January 26, 1933"	JuanIsasi@disney.com	49	Password98	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1048	2048	3048	4946.8	2993.77	-1433.45	4061
Belle	Disney	"October 22, 1971"	BelleDisney@disney.com	21	Password70	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1020	2020	3020	1672.12	2436.34	-1466.09	8704
Lilo	Disney	"January 25, 1992"	LiloDisney@disney.com	35	Password84	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1034	2034	3034	271.45	4697.61	-1430.35	6639
R2	D2	"March 31, 2012"	R2D2@disney.com	99	Password148	"537 W. University Ave, El Paso, TX 79968"	(915) 747-5037	1086	2086	3086	1648.56	3181.61	-1795.31	7394
Kevin	Ramirez	"August 18, 1999"	KevinRamirez@disney.com	57	Password106	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1056	2056	3056	4802.349999999999	452.27	-1683.2	7973
Ariel	Disney	"April 6, 2019"	ArielDisney@disney.com	9	Password58	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1008	2008	3008	338.5	2955.05	-1852.27	6101
Aladdin	Disney	"November 26, 1978"	AladdinDisney@disney.com	11	Password60	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1010	2010	3010	550.6	3654.89	-866.47	4833
Lewis	Roe	"November 24, 1964"	LewisRoe@disney.com	59	Password108	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1058	2058	3058	5362.5	4012.18	-98.65	8417
Hugo	Dominguez	"April 23, 1957"	HugoDominguez@disney.com	46	Password95	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1045	2045	3045	4428.78	2242.74	-436.77	3412
Solomon	Davis	"January 9, 1998"	SolomonDavis@disney.com	45	Password94	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1044	2044	3044	5349.24	850.63	-1292.2	6293
Peter	Pan	"January 1, 1957"	PeterPan@disney.com	15	Password64	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1014	2014	3014	71.02	598.46	-729.29	8413
Jasmine	Disney	"March 5, 1936"	JasmineDisney@disney.com	10	Password59	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1009	2009	3009	1606.7	3929.7	-343.28	5339
Denise	Castro	"September 6, 1976"	DeniseCastro@disney.com	43	Password92	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1042	2042	3042	4611.49	735.53	-1679.53	3383
